"context","location","source","target"
"Sc: Rob, msc: SupernovaAlt, sfx: ROB1, Next: [ROD1-10]","ROD1-9","Thanks! Thats why I always tell people we need more Dmis at Cosmic Fuel!","Merci ! Voilà pourquoi je dis toujours qu'il faut plus de Dmi chez Cosmic Fuel !"
"No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Close, Next: [D1D-3]","ROD1-10","-door opens and chimes-","- La porte s'ouvre et le carillon sonne. -"
"No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-4]","D1D-3","Ugh, Rob’s always piling stuff on me like this.","Pff, comme toujours, Rob me refile tout le boulot."
"No Sc, msc: SupernovaAlt, no sfx, Next: [CalderEnter]","D1D-4","I stare at my phone. I shouldn’t leave Cassie hanging…","Mon regard se fixe sur mon téléphone. Je devrais pas mettre un vent à Cassie…"
"No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Open, Next: [D1D-5]","CalderEnter","-door opens and chimes-","- La porte s'ouvre et le carillon sonne. -"
"No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-6]","D1D-5","Cassiopeia’s got to wait.","Bon, Cassiopée devra attendre."
"No Sc, msc: SupernovaAlt, no sfx, Next: [DD1-6]","D1D-6","The customer before me nods her head to the beat coming from her headphones. He sizes up the shelves. Almost looks like he has the intention of cleaning out our stock.","La cliente devant moi hoche la tête au rythme de la musique qui retentit dans son casque. Ille examine les étagères avec attention. On dirait presque qu'ille compte vider notre stock."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [CAD-1]","DD1-6","Uh, do you need anything?","Euh, je peux vous aider ?"
"Sc: Calder, msc: SupernovaAlt, sfx: Calder_Short, Next: [D1D-7]","CAD-1","What!?","Quoi !?"
"No Sc, msc: SupernovaAlt, no sfx, Next: [DD1-7]","D1D-7","What type of music is that? R&B? Retro R&B?","C'est quoi, comme musique ? Du R&B ? Du R&B rétro ?"
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [CAD-2]","DD1-7","DO YOU NEED ANYTHING?","JE PEUX VOUS AIDER ?"
"Sc: Calder, msc: SupernovaAlt, sfx: CALDER2, Next: [DD1-8]","CAD-2","DO I WHAT? I’M NOT GOOD AT READING LIPS!","DE QUOI ? JE SUIS PAS DOUÉE POUR LIRE SUR LES LÈVRES !"
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [CAD-3]","DD1-8","TURN IT DOWN!","BAISSEZ LE VOLUME !"
"Sc: Calder, msc: SupernovaAlt, sfx: Calder_Short, Next: [D1D-8]","CAD-3","Oh!","Oh !"
"No Sc, msc: SupernovaAlt, no sfx, Next: [CAD-4]","D1D-8","She adjusts the volume of her headphones.","Ille ajuste le volume de son casque."
"Sc: Calder, msc: SupernovaAlt, sfx: CALDER1, Next: [CAD-5]","CAD-4","Sorry, I sometimes forget to just turn off the music.","Désolée, parfois j'oublie de couper la musique."
"Sc: Calder, msc: SupernovaAlt, sfx: CALDER3, Next: [DD1-9a,DD1-11a]","CAD-5","Do you have a Doomsday sale going on?","Vous avez des promos spéciales apocalypse, en ce moment ?"
"Sc: Calder, msc: SupernovaAlt, sfx: CALDER3, Next: [DD1-9a,DD1-11a]","CAD-5-Option-1","Doomsday Sale?","Des promos spéciales apocalypse ?"
"Sc: Calder, msc: SupernovaAlt, sfx: CALDER3, Next: [DD1-9a,DD1-11a]","CAD-5-Option-2","Sure, if you just take it.","Bien sûr, prenez ce que vous voulez."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [DD1-9b]","DD1-9a","Doomsday Sale?","Des promos spéciales apocalypse ?"
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [CAD-6]","DD1-9b","We’re supposed to have one?","Pourquoi, on devrait ?"
"Sc: Calder, msc: SupernovaAlt, sfx: CALDER2, Next: [D1D-9]","CAD-6","Well, why not? I looked it up on Froogle.","Oui, pourquoi pas ? J'ai vu ça en cherchant sur Froogle."
"No Sc, msc: SupernovaAlt, no sfx, Next: [DD1-10]","D1D-9","I sigh. She’s one of those customers.","Je soupire. Je vois très bien à quel genre de cliente j'ai affaire."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [CAD-9]","DD1-10","Sorry, there are no Doomsday promotions going on. If you cash in with your Cosmic membership that’ll take a few luncos off.","Non, on a pas de promotions spéciales apocalypse. Si vous utilisez votre carte de membre Cosmic, vous économiserez quelques monastrals."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [DD1-11b]","DD1-11a","Sure, if you just take it.","Bien sûr, prenez ce que vous voulez."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [D1D-10]","DD1-11b","It’ll be 100% off then.","Réduction de 100 %."
"No Sc, msc: SupernovaAlt, no sfx, Next: [CAD-7]","D1D-10","Calder’s eyes widen.","Calder écarquille les yeux."
"Sc: Calder, msc: SupernovaAlt, sfx: CALDER1, Next: [D1D-11]","CAD-7","Really? I can just take it?","Sérieux ? C'est gratuit ?"
"No Sc, msc: SupernovaAlt, no sfx, Next: [DD1-12]","D1D-11","Excitement spreads across his face.","Son visage se met à rayonner."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [D1D-12]","DD1-12","No.","Non."
"No Sc, msc: SupernovaAlt, no sfx, Next: [CAD-8]","D1D-12","Her smile fades.","Son sourire s'évanouit."
"Sc: Calder, msc: SupernovaAlt, sfx: Calder_Short, Next: [D1D-13]","CAD-8","Aww man.","Oh…"
"No Sc, msc: SupernovaAlt, sfx: Calder_Grunt3, Next: [CAD-9]","D1D-13","He huffs.","Ille souffle."
"Sc: Calder, msc: SupernovaAlt, sfx: CALDER1, Next: [DD1-13]","CAD-9","Alright then, can I put 400 Luncos on pump 2, and what type of fizzy drinks do you have? You’ve gotta have a 2-for-1 deal here.","Bon, je voudrais mettre 400 monastrals pour la pompe 2, et… vous avez quoi, comme soda ? Vous faites des promos 1 + 1 gratuit ?"
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [CalderShopChoice]","DD1-13","Hold on, I think I have something in mind.","Attendez, je crois que j'ai ce qu'il faut."
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP2-1,TDN2-1]","CalderShopChoice","Select an item in the shop","Sélectionnez un article du magasin."
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP2-1,TDN2-1]","CalderShopChoice-Option-1","",""
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP2-1,TDN2-1]CalderShopChoice-Option-2","CalderShopChoice-Option-2","",""
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP2-2]","TDP2-1","Her eyes light up from the soda in my hand.","Son regard s'illumine à la vue du soda dans ma main."
"Sc: Calder, msc: SupernovaAlt, sfx: CALDER1, Next: [TDP2-3]","TDP2-2","You guys carry Deia Deia Soda!? I have a coupon for those!","Vous avez du Soda Deia Deia !? J'ai un coupon pour ça !"
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP2-4]","TDP2-3","He pulls out a comically large coupon book and flips through the pages. She passes a coupon with a picture of Deia Deia Soda.","Ille sort un énorme livre de coupons et en feuillette les pages, puis m'en passe un avec l'image d'un Soda Deia Deia."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [TDP2-5a]","TDP2-4","Huh. I guess you do. I’ll ring you up.","Ah ouais, je vois ça. Je vais le scanner."
"No Sc, msc: SupernovaAlt, sfx: CashRegister, Next: [TDP2-5]","TDP2-5a","-register chimes-","- bruit de caisse enregistreuse -"
"Sc: Calder, msc: SupernovaAlt, sfx: CALDER3, Next: [TDP2-6a]","TDP2-5","Thanks!","Merci !"
"No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Close, Next: [TDP2-6]","TDP2-6a","-door chimes and closes-","- Le carillon sonne et la porte se referme. -"
"No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-14a]","TDP2-6","The candle-headed alien makes his way out of the gas station. I catch a glimpse of a snazzy-looking ship outside. She’s got good taste.","L'alien à la tête de chandelle quitte la station-service, et j'aperçois un vaisseau super stylé dehors. Ille a du goût."
"No Sc, msc: SupernovaAlt, sfx: FLUBBER1, Next: [D1D-14]","D1D-14a","Flubber meows","Flubber miaule."
"Sc: Calder, msc: SupernovaAlt, sfx: CALDER1, Next: [TDN2-2]","TDN2-1","Uh, this isn’t what I was really looking for.","Euh, c'est pas vraiment ce que je cherche."
"Sc: Calder, msc: SupernovaAlt, sfx: CALDER3, Next: [TDN2-3]","TDN2-2","I’ve gotta go! I almost forgot there is a sale on 5D glasses on Uranus!","Je dois y aller ! J'ai failli oublier qu'il y avait une promo sur les lunettes 5D sur Uranus !"
"No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Close, Next: [D1D-14]","TDN2-3","He bolts out of the gas station.","Ille quitte la station-service en trombe."
"No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-15]","D1D-14","Flubber stares, unblinking.","Flubber me fixe sans cligner des yeux."
"No Sc, msc: SupernovaAlt, no sfx, Next: [ZD1a]","D1D-15","She usually does that when she’s happy!","Généralement, ça veut dire qu'elle est contente !"
"No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Open, Next: [D1D-16]","ZD1a","-door opens and chimes-","- La porte s'ouvre et le carillon sonne. -"
"No Sc, msc: SupernovaAlt, no sfx, Next: [ZD1]","D1D-16","The cloudy person who enters the gas station yawns loudly. Her badge twinkles under the industrial lights.","La personne nébuleuse qui vient de passer la porte d'entrée bâille audiblement. Son badge scintille sous l'éclairage industriel."
"Sc: Zerua, msc: SupernovaAlt, sfx: ZERUA_SLEEPY1, Next: [ZD1b]","ZD1","I’m starting a new job outside of the solar system. Do you have Zolkan Coffee perchance?","C'est ma première journée à mon nouveau poste en dehors du Système solaire. Est-ce que vous auriez du café zolkien, par hasard ?"
"No Sc, msc: SupernovaAlt, sfx: , Next: [TDP3-1,TDN3-1]","ZD1b","Select an item in the shop","Sélectionnez un article du magasin."
"No Sc, msc: SupernovaAlt, sfx: , Next: [TDP3-1,TDN3-1]","ZD1b-Option-1","",""
"No Sc, msc: SupernovaAlt, sfx: , Next: [TDP3-1,TDN3-1]ZD1b-Option-2","ZD1b-Option-2","",""
"Sc: Zerua, msc: SupernovaAlt, sfx: ZERUA_SLEEPY2, Next: [TDP3-2]","TDP3-1","Oh, my stars! Thank you!","Oh, par les étoiles ! Merci !"
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP3-3]","TDP3-2","Before the drink sits for more than a nanosecond, it takes a long sip. I don’t think I’ve ever seen anyone down hot coffee that fast before…","Avant que le café n'ait eu le temps de refroidir même une nanoseconde, ul prend une longue gorgée. Je n'avais encore jamais vu quelqu'un boire un café chaud aussi vite…"
"Sc: Zerua, msc: SupernovaAlt, sfx: Zerua_Short, Next: [TDP3-4]","TDP3-3","Ah, that's better.","Ah, ça fait du bien."
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP3-5]","TDP3-4","I eye their badge and rattle my brain for a topic of conversation.","J'observe son badge tout en me triturant les méninges pour trouver un sujet de conversation."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [TDP3-6]","TDP3-5","Are you a clouditech? I think I’ve seen a badge like that before.","Vous bossez en nébulotech ? Je crois que j'ai déjà vu ce badge quelque part."
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP3-7]","TDP3-6","It lets out a big smile. It's as if they’ve been waiting for anyone to ask them all day.","Ul me fait un grand sourire, comme si ul attendait justement que quelqu'un lui pose la question."
"Sc: Zerua, msc: SupernovaAlt, sfx: ZERUA_AWAKE2, Next: [TDP3-8]","TDP3-7","Yes! I’m starting a new job architecting artificial clouds! I’ve been looking for a job forever.","Oui ! J'ai un nouveau poste en architecture de nuages artificiels ! J'étais à la recherche d'un emploi depuis des lustres."
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP3-9]","TDP3-8","She waves her finger above her to-go cup. A mini cloud forms above their cup. Bits of snow sprinkle down. She smiles proudly.","Ul lève un doigt au-dessus de son gobelet à emporter, et un petit nuage se forme. Des flocons de neige miniatures tombent dans le café. Ul sourit fièrement."
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP3-10]","TDP3-9","I smile too.","Je souris aussi."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [TDP3-11]","TDP3-10","I hope your first day is all you want it to be.","J'espère que votre premier jour sera à la hauteur de vos espérances."
"Sc: Zerua, msc: SupernovaAlt, sfx: ZERUA_AWAKE1,CashRegister, Next: [TDP3-11b]","TDP3-11"," Thank you! Please stay safe leaving the solar system soon! Tallyho!"," Merci ! Faites attention à vous, et quittez vite le Système solaire ! Taïaut !"
"No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Close, Next: [D1D-17a]","TDP3-11b","-door chimes and closes-","- Le carillon sonne et la porte se referme. -"
"Sc: Zerua, msc: SupernovaAlt, sfx: ZERUA_SLEEPY1, Next: [TDN3-2]","TDN3-1","This isn’t quite what I’m looking for…","Ce n'est pas exactement ce que je recherche…"
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDN3-3]","TDN3-2","They pull out their phone and notice the time. It seems to wake her up a little, but not much.","Ul sort son téléphone et semble se réveiller un peu en voyant l'heure."
"Sc: Zerua, msc: SupernovaAlt, sfx: ZERUA_AWAKE3, Next: [TDN3-4]","TDN3-3","Oh! Look at the time. I’ll just figure out a way to stay up when I get there! Tallyho, gas station employee!","Oh, vous avez vu l'heure ? Je trouverai bien une façon de garder les yeux ouverts là-bas. Taïaut, employæ de station-service !"
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [TDN3-4b]","TDN3-4"," I have a nametag--"," Mon nom est écrit sur mon badge…"
"No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Close, Next: [D1D-17a]TDN3-4b","TDN3-4b","-door chimes and closes-","- Le carillon sonne et la porte se referme. -"
"No Sc, msc: SupernovaAlt, sfx: FLUBBER2, Next: [D1D-17]","D1D-17a","Flubber meows","Flubber miaule."
"No Sc, msc: SupernovaAlt, sfx: Flubber_Burp, Next: [D1D-18]","D1D-17","Flubber floats and burps. I smile and give her a pat on the head.","Flubber flotte dans les airs et lâche un rot. Je souris et lui caresse la tête."
"No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-19]","D1D-18","She looks proud of herself.","Elle a l'air fière d'elle."
"No Sc, msc: SupernovaAlt, sfx: Boom_2, Next: [DD1-14]","D1D-19","I jump up from my seat as I hear a boom come from outside.","Je saute de mon siège en entendant le bruit d'une explosion à l'extérieur."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [8D-1a]","DD1-14"," What the hell--!?"," C'est quoi ce bordel !?"
"No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Open, Next: [8D-1]","8.0D-1a","-door opens and chimes-","- La porte s'ouvre et le carillon sonne. -"
"Sc: 8008, msc: SupernovaAlt, sfx: 80008_Short, Next: [DD1-15]","8.0D-1","Sup.","S'lut."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [D1D-20]","DD1-15","Uh, sup? What was that?","Euh, salut ? C'était quoi, ça ?"
"No Sc, msc: SupernovaAlt, no sfx, Next: [8D-2]","D1D-20","He ignores me and his eyes- er...screen look up.","Il ignore ma question et lève les yeux… ou plutôt l'écran vers moi."
"Sc: 8008, msc: SupernovaAlt, sfx: 80008_2, Next: [DD1-16]","8.0D-2","What was what?","De quoi vous parlez ?"
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [8D-3]","DD1-16","The boom?","De l'explosion ?"
"Sc: 8008, msc: SupernovaAlt, sfx: 80008_Short, Next: [DD1-17]","8.0D-3","What boom?","Quelle explosion ?"
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [DD1-18]","DD1-17","The-- okay.","L'ex… Laissez tomber."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [D1D-21]","DD1-18","Do you need something?","Vous avez besoin de quelque chose ?"
"No Sc, msc: SupernovaAlt, sfx: 80008_hum2, Next: [8D-4]","D1D-21","A low hum comes from his circuits. He’s thinking.","Ses circuits émettent un léger bruit. Il réfléchit."
"Sc: 8008, msc: SupernovaAlt, sfx: 80008_1, Next: [D1D-22]","8.0D-4","You sell any Arinator brand stuff here? That one made by that smoking cyborg from outta the solar system?","Vous vendez des produits Arinator ici ? Vous savez, la marque de cette cyborg super canon qui vient d'ailleurs ?"
"No Sc, msc: SupernovaAlt, no sfx, Next: [DD1-19]","D1D-22","I’ve heard of Arinator probably. Cassiopeia’s a big fan of singers. Though something was kind of funny about this guy’s desperation. ","J'ai sûrement déjà entendu parler d'Arinator. Cassiopée est très fan d'artistes musicaux. Par contre, ce mec sent le désespoir à plein nez. "
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [8D-5]","DD1-19","I mean, I can check to see what we got.","Je peux aller voir ce qu'on a."
"Sc: 8008, msc: SupernovaAlt, sfx: 80008_3, Next: [8D-5b]","8.0D-5","Sweet! I’ll also be putting 700 luncos on pump 2.","Génial ! Je vais aussi mettre 700 monastrals sur la pompe 2."
"No Sc, msc: SupernovaAlt, sfx: , Next: [TDP4-1,TDN4-1]","8.0D-5b","Select an item in the shop","Sélectionnez un article du magasin."
"No Sc, msc: SupernovaAlt, sfx: , Next: [TDP4-1,TDN4-1]","8D-5b-Option-1","",""
"No Sc, msc: SupernovaAlt, sfx: , Next: [TDP4-1,TDN4-1]8D-5b-Option-2","8D-5b-Option-2","",""
"Sc: 8008, msc: SupernovaAlt, sfx: 80008_1, Next: [TDP4-5]","TDP4-1","Yes! Arinator’s limited edition Mint choco paste? I thought this was sold out everywhere!","Ouah ! Du dentifrice Arinator édition limitée goût choco-menthe ? Je le croyais en rupture de stock partout !"
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [TDP4-6]","TDP4-5","I mean, it's mint chocolate toothpaste isn’t it?","Bah… c'est du dentifrice goût choco-menthe, aussi."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [TDP4-7]","TDP4-6","I don’t think anyone is in a rush to buy that.","Je pense pas que les gens se bousculent pour en acheter."
"Sc: 8008, msc: SupernovaAlt, sfx: 80008_2,CashRegister, Next: [TDP4-7b]","TDP4-7","You just don’t understand the intricacies of something like this! Anything she endorses is a godsend!","Non mais vous comprenez juste pas le phénomène que c'est, en fait. Si elle fait la promo d'un truc, c'est forcément bien !"
"No Sc, msc: SupernovaAlt, sfx: Door_Close,Door_Chime, Next: [TDP4-8]","TDP4-7b","-door chimes and closes-","- Le carillon sonne et la porte se referme. -"
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP4-9]","TDP4-8","He wipes his face (screen?). Then blasts off with his bang of Arinator branded toothpaste in hand.","Il s'essuie le visage (l'écran ?), puis s'en va avec entrain, son dentifrice Arinator à la main."
"No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-24a]","TDP4-9","Glad he found what he wanted.","Au moins, il a trouvé ce qu'il voulait."
"Sc: 8008, msc: SupernovaAlt, sfx: 80008_Short, Next: [TDN4-2]","TDN4-1","Bro.","Sérieux ?"
"Sc: 8008, msc: SupernovaAlt, sfx: 80008_3, Next: [TDN4-3]","TDN4-2"," This is NOT Arinator. She only has her face on the cover of all her products dude."," C'est pas DU TOUT un produit Arinator. Son visage serait sur l'emballage, sinon. "
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDN4-4]","TDN4-3","His facial screen switches to a video of a cyborg woman performing a song on stage. Her fans are screaming their lungs out.","Son écran facial se met à diffuser une vidéo d'une femme cyborg en train de chanter sur scène pendant que ses fans hurlent à pleins poumons."
"Sc: 8008, msc: SupernovaAlt, sfx: 80008_1, Next: [TDN4-5]","TDN4-4","See? You don’t recognize her?","Alors ? Vous la reconnaissez pas ?"
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [TDN4-6]","TDN4-5","Oh, well...I don’t think I really know her stuff.","Oh, euh… Je la connais pas trop, j'avoue."
"Sc: 8008, msc: SupernovaAlt, sfx: 80008_2, Next: [TDN4-6b]","TDN4-6","Fine...I’ll just get gas.","Bon… Je vais juste prendre de l'essence."
"No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Close, Next: [TDN4-7]","TDN4-6b","-door chimes and closes-","- Le carillon sonne et la porte se referme. -"
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDN4-8]","TDN4-7","I stare out the window and watch as 8008 picks up a gas pump and guzzles it straight from the nozzle. His screen shows a sad face with a tear. He then blasts off into space.","En regardant par la fenêtre, je vois 8008 attraper une pompe et boire directement depuis le tuyau. Son écran affiche un visage triste qui tire une larme, puis il décolle dans l'espace."
"No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-24a]","TDN4-8","Poor guy.","Pauvre gars."
"No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Open, Next: [D1D-24]","D1D-24a","-door opens and chimes-","- La porte s'ouvre et le carillon sonne. -"
"No Sc, msc: SupernovaAlt, no sfx, Next: [CRD1]","D1D-24","An old man enters the gas station. He seems to have some kind of air of caution around him. The way he whips his head around makes him look like he is expecting an attack at any moment.","Un vieil homme entre dans la station-service. Il semble inquiet et jette des regards par-dessus son épaule, comme s'il s'attendait à se faire attaquer à tout moment."
"Sc: Crust, msc: SupernovaAlt, sfx: Crust_Short, Next: [DD1-20]","CRD1","Salutations, Martian.","Salutations, être de Mars."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [CRD2]","DD1-20","Uh, hello? Do you need something, sir?","Euh, bonjour ? Je peux vous aider, monsieur ?"
"Sc: Crust, msc: SupernovaAlt, sfx: CRUST2, Next: [D1D-25]","CRD2","Yes, I actually have a list here…","Oui, j'ai une liste, juste ici…"
"No Sc, msc: SupernovaAlt, no sfx, Next: [CRD3]","D1D-25","He pulls out a tiny holosheet and starts to read off of it.","Il sort une petite holopage et commence à lire ce qui y est écrit."
"Sc: Crust, msc: SupernovaAlt, sfx: CRUST3, Next: [DD1-21]","CRD3","I’m looking for duct tape, five laser blasters, a medkit, a flaming katana--","Je cherche du gros ruban adhésif, cinq pistolets laser, une trousse de premiers secours, un katana enflammé…"
