"context","location","source","target"
"This is the values for the slider bar, for localizing numbers. We need all the numbers between 0 and 100","NUM","0.000000000","0.000000000"
"Pause Menu","PM1","Game Paused","Đang tạm dừng"
"Pause Menu","PM2","Save","Lưu"
"Pause Menu","PM3","Load","Đang tải"
"Pause Menu","PM4","Options","Tùy chọn"
"Pause Menu","PM5","Quit","Thoát"
"phone and narrative navigation","NAV1","now","Hiện tại"
"phone and narrative navigation","NAV2","back","Quay lại"
"phone and narrative navigation","NAV3","next","Tiếp"
"Credit Screen","CS1","Credits","Đội ngũ thực hiện"
"Credit Screen","CS2","writer","Biên kịch"
"Credit Screen","CS3","Character Designer/Artist","Hoạ sĩ/Thiết kế nhân vật"
"Credit Screen","CS4","Background and Item Artist","Hoạ sĩ bối cảnh và vật phẩm"
"Credit Screen","CS5","Composer/Sound Designer","Soạn nhạc/Thiết kế âm thanh"
"Credit Screen","CS6","Additional Voice-Over","Hỗ trợ Lồng tiếng"
"Credit Screen","CS7","UX/UI Designer","Thiết kế UX/UI"
"Credit Screen","CS8","Programmer","Lập trình"
"In the shop","S1","Turn Around","Quay trở về"
"In the shop","S2","Alpaca Jerky","Lạc đà Alpaca sấy khô"
"In the shop","S3","Deia Deia","Nước ngọt Deia Deia"
"In the shop","S4","Arinator","Kem đánh răng Arinator"
"In the shop","S5","Food","Đồ ăn"
"Itch Game Description","IGD1","Supernova is a hybrid between a point-and-click and a visual novel with inspiration from games like Coffee Talk.  ","Supernova là một Tiểu thuyết Trực quan (Visual Novel) dạng Trỏ và Nhấn (Point-and-click) được lấy cảm hứng từ các trò chơi điện tử như Coffee Talk.   "
"Itch Game Description","IGD2","You are playing as Dmi, a gas station employee on Mars’ moon. ","Bạn đang đóng vai Diễm Mi, nhân viên của một trạm xăng nằm trên mặt trăng của Sao Hỏa.  "
"Itch Game Description","IGD3","The solar system is reaching its end, and a supernova will wipe out everything in three days.","Hệ Mặt Trời đang dần đi đến hồi kết, và một vụ nổ siêu tân tinh sẽ diễn ra trong ba ngày nữa."
"Itch Game Description","IGD4","You’re clocking in. ","Còn bạn thì vẫn đi làm như mọi ngày. "
"Itch Game Description","IGD5","Most people have relocated already, but a few people are still around.","Hầu hết mọi người đều đã di tản, nhưng vẫn còn một số người chưa rời đi."
"Itch Game Description","IGD6","Who will you meet in those last three days?","Bạn sẽ gặp gỡ những ai trong ba ngày cuối cùng này?"
"Itch Game Description","IGD7","Notes from the creators:","Ghi chú của nhà sáng tạo:"
"Itch Game Description","IGD8","A significant amount of work went into making this game accessible, thanks to our UX designer Susan.","Xin chân thành cảm ơn Chuyên viên UX của chúng tôi, Susan, vì đã nỗ lực rất nhiều để đảm bảo trò chơi có tính thân thiện với mọi người dùng."
"Itch Game Description","IGD9","Features:","Trò chơi này có:"
"Itch Game Description","IGD10","Roughly 7,000 words of dialogue and narration","Khoảng 7.000 từ, bao gồm cả lời thoại và lời dẫn truyện"
"Itch Game Description","IGD11","Two Endings!","Hai cái kết khác nhau!"
"Itch Game Description","IGD12","You can pet the cat(?)!","Một con mèo(?) thích được vuốt ve!"
"Itch Game Description","IGD13","One playthrough should be around 25 minutes","Toàn bộ trò chơi sẽ kéo dài khoảng 25 phút"
"Itch Game Description","IGD14","A Special thanks to Trey and Brandon for keeping Britney sane while organizing dialogue!","Đặc biệt cảm ơn Trey và Brandon vì đã không để cho Britney hóa điên khi cổ sắp xếp lời thoại!"
"Itch Game Description","IGD15","Contributors:","Đội ngũ phát triển:"
"Itch Game Description","IGD16","Attribution:","Tài nguyên:"
"Not sure if some of the non-latin alphabets need to translate this","IGD17","Twitter","Twitter"
"Not sure if some of the non-latin alphabets need to translate this","IGD18","Instagram","Instagram"
"Not sure if some of the non-latin alphabets need to translate this","IGD19","Linktree","Linktree"
"Itch Game Description","IGD20","Portfolio","Portfolio"
"Installation details","INSTALL1","Mac users - you may have to use the itch app to play this game","Nếu bạn sử dụng MacBook, vui lòng tải ứng dụng itch.io để truy cập trò chơi."
" On the phone missing string","NAV4","How do you want to respond?","Bạn sẽ trả lời ra sao?"
"Front of shop shelves","S6","Go Back","Quay về"
"Pause menu","PM6","Resume","Chơi tiếp"
"Options Menu","OPT7","Language","Ngôn ngữ"
