"location","context","source","target"
"OPT1","Options Menu","Sound Options","Hangbeállítások"
"OPT2","Options Menu","Background Music Volume","Háttérzene-hangerő"
"OPT3","Options Menu","Character Speech Volume","Beszédhangerő"
"OPT4","Options Menu","Sound Effects Volume","Hangeffektus-hangerő"
"OPT5","Options Menu","Cancel","Mégse"
"OPT6","Options Menu","Save","Mentés"
"NUM","This is the values for the slider bar, for localizing numbers. We need all the numbers between 0 and 100","0.000000000",""
"PM1","Pause Menu","Game Paused","Játék szüneteltetve"
"PM2","Pause Menu","Save","Mentés"
"PM3","Pause Menu","Load","Betöltés"
"PM4","Pause Menu","Options","Beállítások"
"PM5","Pause Menu","Quit","Kilépés"
"NAV1","phone and narrative navigation","now","most"
"NAV2","phone and narrative navigation","back","vissza"
"NAV3","phone and narrative navigation","next","következő"
"CS1","Credit Screen","Credits","Készítők"
"CS2","Credit Screen","writer","Szövegíró"
"CS3","Credit Screen","Character Designer/Artist","Karaktertervező/Művész"
"CS4","Credit Screen","Background and Item Artist","Látvány- és tárgytervező"
"CS5","Credit Screen","Composer/Sound Designer","Zeneszerző/Hangtervező"
"CS6","Credit Screen","Additional Voice-Over","Karakterhangok"
"CS7","Credit Screen","UX/UI Designer","UX/UI-designer"
"CS8","Credit Screen","Programmer","Fejlesztő"
"S1","In the shop","Turn Around","Fordulj meg"
"S2","In the shop","Alpaca Jerky","Szárított alpakahús"
"S3","In the shop","Deia Deia","Deia Deia androkóla"
"S4","In the shop","Arinator","Arinátor"
"S5","In the shop","Food","Étel"
"IGD1","Itch Game Description","Supernova is a hybrid between a point-and-click and a visual novel with inspiration from games like Coffee Talk.  ","A Supernova a point-and-click és a vizuális regény ötvözete, amely olyan játékokból merített ihletet, mint például a Coffee Talk.  "
"IGD2","Itch Game Description","You are playing as Dmi, a gas station employee on Mars’ moon. ","A te karaktered Dmi, egy benzinkutas a Mars holdján. "
"IGD3","Itch Game Description","The solar system is reaching its end, and a supernova will wipe out everything in three days.","Közeledik a Naprendszer vége, ugyanis három nap múlva mindent elpusztít egy szupernóva."
"IGD4","Itch Game Description","You’re clocking in. ","Elkezded a munkát. "
"IGD5","Itch Game Description","Most people have relocated already, but a few people are still around.","A legtöbben már elköltöztek, de páran még itt maradtak."
"IGD6","Itch Game Description","Who will you meet in those last three days?","Vajon kiket fogsz megismerni ebben az utolsó három napban?"
"IGD7","Itch Game Description","Notes from the creators:","A készítők megjegyzései"
"IGD8","Itch Game Description","A significant amount of work went into making this game accessible, thanks to our UX designer Susan.","Sok munkát fektettünk abba, hogy játékunk felülete mindenki számára könnyen használható legyen. Köszönet az UX-designerünknek, Susannek!"
"IGD9","Itch Game Description","Features:","Tulajdonságok:"
"IGD10","Itch Game Description","Roughly 7,000 words of dialogue and narration","Körülbelül 7.000 szónyi párbeszéd és narráció"
"IGD11","Itch Game Description","Two Endings!","Kétféle befejezés!"
"IGD12","Itch Game Description","You can pet the cat(?)!","Megsimogathatod a cicát(?)!"
"IGD13","Itch Game Description","One playthrough should be around 25 minutes","Egy végigjátszás nagyjából 25 percig tart"
"IGD14","Itch Game Description","A Special thanks to Trey and Brandon for keeping Britney sane while organizing dialogue!","Külön köszönet Treynek és Brandonnak, hogy segítettek Britney-nek megőrizni a józan eszét a párbeszédek rendszerezése alatt!"
"IGD15","Itch Game Description","Contributors:","Közreműködők:"
"IGD16","Itch Game Description","Attribution:","Linkek:"
"IGD17","Not sure if some of the non-latin alphabets need to translate this","Twitter",""
"IGD18","Not sure if some of the non-latin alphabets need to translate this","Instagram",""
"IGD19","Not sure if some of the non-latin alphabets need to translate this","Linktree",""
"IGD20","Itch Game Description","Portfolio","Portfólió"
"INSTALL1","Installation details","Mac users - you may have to use the itch app to play this game","Mac felhasználók - előfordulhat, hogy a játékhoz szükségetek lesz az itch alkalmazásra"
"NAV4"," On the phone missing string","How do you want to respond?","Mit válaszolsz?"
"S6","Front of shop shelves","Go Back","Vissza"
"PM6","Pause menu","Resume","Folytatás"
"OPT7","Options Menu","Language Options","Nyelv"
