"context","location","source","target"
"No Sc, msc: SupernovaAlt, sfx: FLUBBER1, Next: [DD1-2]","FOD1-1","Flubber meows","Múp Míp kêu ""meo""."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [ROD1-3]","DD1-2","Come on, Rob. What am I? A cat-sitter? and on company time?","Nhìn em giống con sen lắm hả, anh Rob? Đang trong giờ làm nữa đấy?"
"Sc: Rob, msc: SupernovaAlt, sfx: ROB3, Next: [DD1-3]","ROD1-3","Well, I’ll dock your pay if you don’t!","Hừ, cằn nhằn là tôi giam lương đấy!"
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [ROD1-4]","DD1-3","Don’t you do that already?","Rồi lương tháng trước của em đâu?"
"Sc: Rob, msc: SupernovaAlt, no sfx, Next: [DD1-4]","ROD1-4","...","..."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [ROD1-5]","DD1-4","...","..."
"Sc: Rob, msc: SupernovaAlt, sfx: Rob_Short, Next: [ROD1-6]","ROD1-5","...anyways.","... e hèm."
"Sc: Rob, msc: SupernovaAlt, sfx: ROB3, Next: [ROD1-7]","ROD1-6","I gotta help my mom pack, and Flubber likes to play in boxes.","Tôi phải qua phụ mẹ dọn đồ, Múp Míp thích chơi với mấy cái hộp lắm."
"Sc: Rob, msc: SupernovaAlt, sfx: ROB2, Next: [FD1-1]","ROD1-7","Besides, she likes you anyway!","Nhỏ cũng bám cậu mà!"
"Sc: Flubber, msc: SupernovaAlt, sfx: FLUBBER2, Next: [ROD1-8]","FD1-1","Meow","Meo"
"Sc: Rob, msc: SupernovaAlt, sfx: Rob_Short, Next: [DD1-5]","ROD1-8","See?","Đó!"
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [ROD1-9]","DD1-5","Fine...","Ừ, để em..."
"Sc: Rob, msc: SupernovaAlt, sfx: ROB1, Next: [ROD1-10]","ROD1-9","Thanks! Thats why I always tell people we need more Dmis at Cosmic Fuel!","Cảm ơn nhé! Cái chỗ này mà có nhiều người như cậu thì tốt biết mấy!"
"No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Close, Next: [D1D-3]","ROD1-10","-door opens and chimes-","[cửa mở, chuông cửa reo lên]"
"No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-4]","D1D-3","Ugh, Rob’s always piling stuff on me like this.","Hừ, ổng cứ gặp mình là nhờ vả."
"No Sc, msc: SupernovaAlt, no sfx, Next: [CalderEnter]","D1D-4","I stare at my phone. I shouldn’t leave Cassie hanging…","Tôi lại nhìn điện thoại. Nên nhắn lại liền chứ để Tiên chờ..."
"No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Open, Next: [D1D-5]","CalderEnter","-door opens and chimes-","[cửa mở, chuông cửa reo lên]"
"No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-6]","D1D-5","Cassiopeia’s got to wait.","Tí nữa nhé, Tiên Hậu."
"No Sc, msc: SupernovaAlt, no sfx, Next: [DD1-6]","D1D-6","The customer before me nods her head to the beat coming from her headphones. He sizes up the shelves. Almost looks like he has the intention of cleaning out our stock.","Vị khách trước mặt tôi đung đưa theo điệu nhạc trong tai nghe. Anh/chị ấy nhìn quanh, ngó dọc, như thể muốn hốt sạch những gì còn sót lại."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [CAD-1]","DD1-6","Uh, do you need anything?","Ờm, quý khách cần mua gì?"
"Sc: Calder, msc: SupernovaAlt, sfx: Calder_Short, Next: [D1D-7]","CAD-1","What!?","Hả!?"
"No Sc, msc: SupernovaAlt, no sfx, Next: [DD1-7]","D1D-7","What type of music is that? R&B? Retro R&B?","Nhạc gì vậy nhỉ? R&B? Retro R&B?"
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [CAD-2]","DD1-7","DO YOU NEED ANYTHING?","QUÝ KHÁCH MUỐN MUA CÁI GÌ?"
"Sc: Calder, msc: SupernovaAlt, sfx: CALDER2, Next: [DD1-8]","CAD-2","DO I WHAT? I’M NOT GOOD AT READING LIPS!","CÁI GÌ MÀ BUA? KHÔNG HIỂU!"
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [CAD-3]","DD1-8","TURN IT DOWN!","TẮT NHẠC GIÚP EM!"
"Sc: Calder, msc: SupernovaAlt, sfx: Calder_Short, Next: [D1D-8]","CAD-3","Oh!","À!"
"No Sc, msc: SupernovaAlt, no sfx, Next: [CAD-4]","D1D-8","She adjusts the volume of her headphones.","Anh/Chị ấy chỉnh âm lượng tai nghe."
"Sc: Calder, msc: SupernovaAlt, sfx: CALDER1, Next: [CAD-5]","CAD-4","Sorry, I sometimes forget to just turn off the music.","Xin lỗi em, lâu lâu cứ quên tắt nhạc."
"Sc: Calder, msc: SupernovaAlt, sfx: CALDER3, Next: [DD1-9a,DD1-11a]","CAD-5","Do you have a Doomsday sale going on?","Em có giảm giá mừng Tận thế không?"
"Sc: Calder, msc: SupernovaAlt, sfx: CALDER3, Next: [DD1-9a,DD1-11a]","CAD-5-Option-1","Doomsday Sale?","Mừng ngày Tận thế?"
"Sc: Calder, msc: SupernovaAlt, sfx: CALDER3, Next: [DD1-9a,DD1-11a]","CAD-5-Option-2","Sure, if you just take it.","Tuỳ anh/chị thôi, giảm bao nhiêu cũng có."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [DD1-9b]","DD1-9a","Doomsday Sale?","Mừng ngày Tận thế?"
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [CAD-6]","DD1-9b","We’re supposed to have one?","Vậy thì phải giảm giá sao anh/chị?"
"Sc: Calder, msc: SupernovaAlt, sfx: CALDER2, Next: [D1D-9]","CAD-6","Well, why not? I looked it up on Froogle.","Chứ sao? Anh ""sợt"" mạng thấy ghi vậy."
"No Sc, msc: SupernovaAlt, no sfx, Next: [DD1-10]","D1D-9","I sigh. She’s one of those customers.","Tôi thở dài. Anh ấy là kiểu khách hàng ""đòi"" thân thiết."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [CAD-9]","DD1-10","Sorry, there are no Doomsday promotions going on. If you cash in with your Cosmic membership that’ll take a few luncos off.","Xin lỗi anh, nhưng bên em không có chương trình giảm giá mừng Tận thế. Nếu anh đổi điểm Hoàn Vũ thì sẽ được chiết khấu Nguyệt tệ."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [DD1-11b]","DD1-11a","Sure, if you just take it.","Tuỳ anh/chị thôi, giảm bao nhiêu cũng có."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [D1D-10]","DD1-11b","It’ll be 100% off then.","Giảm 100% cũng được nữa."
"No Sc, msc: SupernovaAlt, no sfx, Next: [CAD-7]","D1D-10","Calder’s eyes widen.","Mắt anh/chị Calder tròn xoe."
"Sc: Calder, msc: SupernovaAlt, sfx: CALDER1, Next: [D1D-11]","CAD-7","Really? I can just take it?","Thiệt hả? Là muốn lấy cái gì cũng được?"
"No Sc, msc: SupernovaAlt, no sfx, Next: [DD1-12]","D1D-11","Excitement spreads across his face.","Vẻ mặt Calder hào hứng hẳn."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [D1D-12]","DD1-12","No.","Cửa hàng..."
"No Sc, msc: SupernovaAlt, no sfx, Next: [CAD-8]","D1D-12","Her smile fades.","Nụ cười trên môi anh/chị tắt dần."
"Sc: Calder, msc: SupernovaAlt, sfx: Calder_Short, Next: [D1D-13]","CAD-8","Aww man.","Chán thế."
"No Sc, msc: SupernovaAlt, sfx: Calder_Grunt3, Next: [CAD-9]","D1D-13","He huffs.","Anh ấy thở mạnh."
"Sc: Calder, msc: SupernovaAlt, sfx: CALDER1, Next: [DD1-13]","CAD-9","Alright then, can I put 400 Luncos on pump 2, and what type of fizzy drinks do you have? You’ve gotta have a 2-for-1 deal here.","OK, vậy anh trả 400 Nguyệt tệ, đổ xăng bơm số 2 nhé, với lại có bán nước ngọt không? Không giảm giá thì cũng phải mua 2 tặng 1 chứ."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [CalderShopChoice]","DD1-13","Hold on, I think I have something in mind.","Anh chờ nhé, em nhớ là có."
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP2-1,TDN2-1]","CalderShopChoice","Select an item in the shop","Hãy chọn một vật phẩm trong tiệm"
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP2-1,TDN2-1]","CalderShopChoice-Option-1","","CalderShopChoice-Option-1
"
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP2-1,TDN2-1]CalderShopChoice-Option-2","CalderShopChoice-Option-2","","CalderShopChoice-Option-2
"
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP2-2]","TDP2-1","Her eyes light up from the soda in my hand.","Mắt anh/chị ấy sáng rực khi thấy tôi cầm chai nước ngọt."
"Sc: Calder, msc: SupernovaAlt, sfx: CALDER1, Next: [TDP2-3]","TDP2-2","You guys carry Deia Deia Soda!? I have a coupon for those!","Ở đây có nước Deia Deia luôn!? Đợi chút, anh lấy phiếu giảm giá!"
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP2-4]","TDP2-3","He pulls out a comically large coupon book and flips through the pages. She passes a coupon with a picture of Deia Deia Soda.","Anh ấy lôi ra một tập album phiếu giảm giá rồi lướt qua từng trang, sau đó lấy ra một phiếu giảm giá có hình chai nước ngọt Deia Deia."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [TDP2-5a]","TDP2-4","Huh. I guess you do. I’ll ring you up.","Ờm. Vậy cũng được. Để em giảm giá."
"No Sc, msc: SupernovaAlt, sfx: CashRegister, Next: [TDP2-5]","TDP2-5a","-register chimes-","[tiếng máy tính tiền ting ting]"
"Sc: Calder, msc: SupernovaAlt, sfx: CALDER3, Next: [TDP2-6a]","TDP2-5","Thanks!","Cảm ơn nhá!"
"No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Close, Next: [TDP2-6]","TDP2-6a","-door chimes and closes-","[chuông cửa rung lên, cửa đóng]"
"No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-14a]","TDP2-6","The candle-headed alien makes his way out of the gas station. I catch a glimpse of a snazzy-looking ship outside. She’s got good taste.","Vị khách lạ có đầu hình nến đấy bước ra khỏi trạm xăng. Tôi nhìn thoáng qua thì thấy một chiếc tàu bay có bề ngoài khá sành điệu. Anh/Chị ấy rõ là có gu."
"No Sc, msc: SupernovaAlt, sfx: FLUBBER1, Next: [D1D-14]","D1D-14a","Flubber meows","Múp Míp kêu ""meo""."
"Sc: Calder, msc: SupernovaAlt, sfx: CALDER1, Next: [TDN2-2]","TDN2-1","Uh, this isn’t what I was really looking for.","Hả, chị đâu có cần cái này."
"Sc: Calder, msc: SupernovaAlt, sfx: CALDER3, Next: [TDN2-3]","TDN2-2","I’ve gotta go! I almost forgot there is a sale on 5D glasses on Uranus!","Thôi anh đi trước nhé! Xém quên là đang giảm giá kính 5D trên Sao Thiên Vương! "
"No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Close, Next: [D1D-14]","TDN2-3","He bolts out of the gas station.","Anh/Chị ấy phóng ra khỏi trạm xăng."
"No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-15]","D1D-14","Flubber stares, unblinking.","Múp Míp nhìn tôi chằm chằm, không chớp mắt."
"No Sc, msc: SupernovaAlt, no sfx, Next: [ZD1a]","D1D-15","She usually does that when she’s happy!","Em ấy hay làm vậy khi thấy vui!"
"No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Open, Next: [D1D-16]","ZD1a","-door opens and chimes-","[cửa mở, chuông cửa reo lên]"
"No Sc, msc: SupernovaAlt, no sfx, Next: [ZD1]","D1D-16","The cloudy person who enters the gas station yawns loudly. Her badge twinkles under the industrial lights.","Vị khách đầy mây bước vào trạm xăng, ngáp to. Huy hiệu của chị ấy sáng lấp lánh dưới ánh đèn huỳnh quang."
"Sc: Zerua, msc: SupernovaAlt, sfx: ZERUA_SLEEPY1, Next: [ZD1b]","ZD1","I’m starting a new job outside of the solar system. Do you have Zolkan Coffee perchance?","Tôi vừa nhận việc mới ngoài hệ Mặt Trời. Ở đây mà có Cà phê Zolkan thì hay biết mấy."
"No Sc, msc: SupernovaAlt, sfx: , Next: [TDP3-1,TDN3-1]","ZD1b","Select an item in the shop","Hãy chọn một vật phẩm trong tiệm"
"No Sc, msc: SupernovaAlt, sfx: , Next: [TDP3-1,TDN3-1]","ZD1b-Option-1","","ZD1b-Option-1
"
"No Sc, msc: SupernovaAlt, sfx: , Next: [TDP3-1,TDN3-1]ZD1b-Option-2","ZD1b-Option-2","","ZD1b-Option-2
"
"Sc: Zerua, msc: SupernovaAlt, sfx: ZERUA_SLEEPY2, Next: [TDP3-2]","TDP3-1","Oh, my stars! Thank you!","Thánh thần thiên hà ơi! Cảm ơn nha!"
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP3-3]","TDP3-2","Before the drink sits for more than a nanosecond, it takes a long sip. I don’t think I’ve ever seen anyone down hot coffee that fast before…","Cốc cà phê mới rót ra khoảng một nano giây mà được vị khách ấy đã tu liền một hơi. Trước giờ tôi chưa thấy ai uống cà phê nóng như húp nước lã như thế..."
"Sc: Zerua, msc: SupernovaAlt, sfx: Zerua_Short, Next: [TDP3-4]","TDP3-3","Ah, that's better.","Ôi chà, đã thật đấy."
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP3-5]","TDP3-4","I eye their badge and rattle my brain for a topic of conversation.","Tôi để mắt đến chiếc huy hiệu trên người họ và vắt óc tìm chuyện để nói."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [TDP3-6]","TDP3-5","Are you a clouditech? I think I’ve seen a badge like that before.","Quý khách là kỹ sư thời tiết đúng không? Em thấy cái huy hiệu này nhìn quen lắm."
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP3-7]","TDP3-6","It lets out a big smile. It's as if they’ve been waiting for anyone to ask them all day.","Vị khách ấy cười toe toét, cứ như thể đã chờ người hỏi câu đó cả ngày rồi."
"Sc: Zerua, msc: SupernovaAlt, sfx: ZERUA_AWAKE2, Next: [TDP3-8]","TDP3-7","Yes! I’m starting a new job architecting artificial clouds! I’ve been looking for a job forever.","Chính xác! Chị sắp làm kiến trúc sư tạo mây nhân tạo! Tìm việc mãi mới được đấy."
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP3-9]","TDP3-8","She waves her finger above her to-go cup. A mini cloud forms above their cup. Bits of snow sprinkle down. She smiles proudly.","Chị ấy ngoe nguẩy ngón tay trên chiếc cốc dùng một lần, tạo ra một đám mây nhỏ. Có vài mảnh tuyết rơi xuống. Chị ấy cười mỉm chi."
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP3-10]","TDP3-9","I smile too.","Tôi cũng mỉm cười."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [TDP3-11]","TDP3-10","I hope your first day is all you want it to be.","Chúc chị ngày đầu đi làm thuận buồm xuôi gió nhé."
"Sc: Zerua, msc: SupernovaAlt, sfx: ZERUA_AWAKE1,CashRegister, Next: [TDP3-11b]","TDP3-11"," Thank you! Please stay safe leaving the solar system soon! Tallyho!"," Cảm ơn em! Nhớ giữ an toàn, sớm dọn đi nghe! Chị bay đây!"
"No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Close, Next: [D1D-17a]","TDP3-11b","-door chimes and closes-","[chuông cửa rung lên, cửa đóng]"
"Sc: Zerua, msc: SupernovaAlt, sfx: ZERUA_SLEEPY1, Next: [TDN3-2]","TDN3-1","This isn’t quite what I’m looking for…","Chị đâu có cần cái này..."
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDN3-3]","TDN3-2","They pull out their phone and notice the time. It seems to wake her up a little, but not much.","Vị khách ấy lấy điện thoại ra xem giờ. Làm vậy dường như khiến chị chợt tỉnh, dù chỉ một chút."
"Sc: Zerua, msc: SupernovaAlt, sfx: ZERUA_AWAKE3, Next: [TDN3-4]","TDN3-3","Oh! Look at the time. I’ll just figure out a way to stay up when I get there! Tallyho, gas station employee!","Ối trời! Em nhìn đồng hồ nè. Buồn ngủ hay gì thì cũng phải ra đó rồi tính! Chị bay nhé, em trạm xăng!"
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [TDN3-4b]","TDN3-4"," I have a nametag--"," Em có tên mà—"
"No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Close, Next: [D1D-17a]TDN3-4b","TDN3-4b","-door chimes and closes-","[chuông cửa rung lên, cửa đóng]"
"No Sc, msc: SupernovaAlt, sfx: FLUBBER2, Next: [D1D-17]","D1D-17a","Flubber meows","Múp Míp kêu ""meo""."
"No Sc, msc: SupernovaAlt, sfx: Flubber_Burp, Next: [D1D-18]","D1D-17","Flubber floats and burps. I smile and give her a pat on the head.","Múp Míp lơ lửng trên không rồi ợ một cái. Tôi mỉm cười rồi xoa đầu em ấy."
"No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-19]","D1D-18","She looks proud of herself.","Em có vẻ tự mãn."
"No Sc, msc: SupernovaAlt, sfx: Boom_2, Next: [DD1-14]","D1D-19","I jump up from my seat as I hear a boom come from outside.","Tôi nhảy dựng khỏi ghế trước tiếng nổ bên ngoài."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [8D-1a]","DD1-14"," What the hell--!?"," Cái quái gì—!?"
"No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Open, Next: [8D-1]","8.0D-1a","-door opens and chimes-","[cửa mở, chuông cửa reo lên]"
"Sc: 8008, msc: SupernovaAlt, sfx: 80008_Short, Next: [DD1-15]","8.0D-1","Sup.","Ây."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [D1D-20]","DD1-15","Uh, sup? What was that?","Ây, dô? Khi nãy có chuyện gì vậy?"
"No Sc, msc: SupernovaAlt, no sfx, Next: [8D-2]","D1D-20","He ignores me and his eyes- er...screen look up.","Cậu ta lờ tôi đi, ánh mắt—à không, màn hình nhìn lên."
"Sc: 8008, msc: SupernovaAlt, sfx: 80008_2, Next: [DD1-16]","8.0D-2","What was what?","Chuyện gì là sao?"
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [8D-3]","DD1-16","The boom?","Tiếng nổ hồi nãy ấy?"
"Sc: 8008, msc: SupernovaAlt, sfx: 80008_Short, Next: [DD1-17]","8.0D-3","What boom?","Cái gì nổ?"
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [DD1-18]","DD1-17","The-- okay.","Cái— thôi không có gì đâu."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [D1D-21]","DD1-18","Do you need something?","Cậu cần mua gì?"
"No Sc, msc: SupernovaAlt, sfx: 80008_hum2, Next: [8D-4]","D1D-21","A low hum comes from his circuits. He’s thinking.","Có tiếng ""rùm rùm"" nhẹ phát ra từ mạch điện. Cậu ấy đang suy nghĩ."
"Sc: 8008, msc: SupernovaAlt, sfx: 80008_1, Next: [D1D-22]","8.0D-4","You sell any Arinator brand stuff here? That one made by that smoking cyborg from outta the solar system?","Ở đây có bán món gì mang thương hiệu Arinator không? Của cô ca sĩ người máy siêu ""choáy"", siêu nổi ngoài hệ Mặt Trời ấy?"
"No Sc, msc: SupernovaAlt, no sfx, Next: [DD1-19]","D1D-22","I’ve heard of Arinator probably. Cassiopeia’s a big fan of singers. Though something was kind of funny about this guy’s desperation. ","Hình như tôi từng nghe qua cái tên Arinator. Tiên là người rất hâm mộ ca sĩ. Nhưng fan cuồng như cậu này thì rõ là hiếm gặp. "
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [8D-5]","DD1-19","I mean, I can check to see what we got.","Ờ thì... để tôi xem thử còn gì không."
"Sc: 8008, msc: SupernovaAlt, sfx: 80008_3, Next: [8D-5b]","8.0D-5","Sweet! I’ll also be putting 700 luncos on pump 2.","OK! Tôi trả 700 Nguyệt tệ, bơm số 2 luôn."
"No Sc, msc: SupernovaAlt, sfx: , Next: [TDP4-1,TDN4-1]","8.0D-5b","Select an item in the shop","Hãy chọn một vật phẩm trong tiệm"
"No Sc, msc: SupernovaAlt, sfx: , Next: [TDP4-1,TDN4-1]","8D-5b-Option-1","","8D-5b-Option-1
"
"No Sc, msc: SupernovaAlt, sfx: , Next: [TDP4-1,TDN4-1]8D-5b-Option-2","8D-5b-Option-2","","8D-5b-Option-2
"
"Sc: 8008, msc: SupernovaAlt, sfx: 80008_1, Next: [TDP4-5]","TDP4-1","Yes! Arinator’s limited edition Mint choco paste? I thought this was sold out everywhere!","Trời quơi! Kem đánh răng vị Socola Bạc hà Phiên bản Giới hạn của Arinator? Hoá ra còn chỗ này có!"
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [TDP4-6]","TDP4-5","I mean, it's mint chocolate toothpaste isn’t it?","Thì... cái này là kem đánh răng vị socola bạc hà mà?"
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [TDP4-7]","TDP4-6","I don’t think anyone is in a rush to buy that.","Người ta chẳng đổ xô đi mua mấy thứ như vậy đâu."
"Sc: 8008, msc: SupernovaAlt, sfx: 80008_2,CashRegister, Next: [TDP4-7b]","TDP4-7","You just don’t understand the intricacies of something like this! Anything she endorses is a godsend!","Nói vậy là không hiểu thiết kế tinh tế của sản phẩm này rùi! Chị ấy quảng cáo cái gì là cái đó phải xịn!"
"No Sc, msc: SupernovaAlt, sfx: Door_Close,Door_Chime, Next: [TDP4-8]","TDP4-7b","-door chimes and closes-","[chuông cửa rung lên, cửa đóng]"
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP4-9]","TDP4-8","He wipes his face (screen?). Then blasts off with his bang of Arinator branded toothpaste in hand.","Cậu ấy lau mặt (màn hình?), sau đó phóng đi cùng ống kem đánh răng nhãn hiệu Arinator trong tay."
"No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-24a]","TDP4-9","Glad he found what he wanted.","Thôi thì cũng vui là cậu ta được như ý."
"Sc: 8008, msc: SupernovaAlt, sfx: 80008_Short, Next: [TDN4-2]","TDN4-1","Bro.","Bruh."
"Sc: 8008, msc: SupernovaAlt, sfx: 80008_3, Next: [TDN4-3]","TDN4-2"," This is NOT Arinator. She only has her face on the cover of all her products dude."," Cái này ĐÂU PHẢI của Arinator. Sản phẩm nào của cổ cũng có in hình mặt cổ chứ."
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDN4-4]","TDN4-3","His facial screen switches to a video of a cyborg woman performing a song on stage. Her fans are screaming their lungs out.","Cái mặt màn hình của cậu ấy bắt đầu phát video cô ca sĩ người máy trình diễn trên sân khấu. Khán giả gào thét rất cuồng nhiệt."
"Sc: 8008, msc: SupernovaAlt, sfx: 80008_1, Next: [TDN4-5]","TDN4-4","See? You don’t recognize her?","Đây này? Ai mà chẳng biết cổ?"
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [TDN4-6]","TDN4-5","Oh, well...I don’t think I really know her stuff.","Ừ thì... Chắc có tôi đấy?"
"Sc: 8008, msc: SupernovaAlt, sfx: 80008_2, Next: [TDN4-6b]","TDN4-6","Fine...I’ll just get gas.","Vậy thôi... Tôi đổ xăng thôi."
"No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Close, Next: [TDN4-7]","TDN4-6b","-door chimes and closes-","[chuông cửa rung lên, cửa đóng]"
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDN4-8]","TDN4-7","I stare out the window and watch as 8008 picks up a gas pump and guzzles it straight from the nozzle. His screen shows a sad face with a tear. He then blasts off into space.","Tôi nhìn ra ngoài cửa sổ thì thấy 8008 cầm cái vòi bơm xăng uống ừng ực. Trên màn hình của cậu ấy là một khuôn mặt buồn, có một giọt nước mắt. Xong việc, cậu ta phóng lên không gian."
